store_id,year,state,shore,empft,emppt,nmgrs,wage_st,pentree,fte
75,1992,1,0,3,15,3,4.25,2.769999981,13.5
208,1992,1,0,12,32,4,4.619999886,0.850000024,32
33,1992,1,0,12,20,4,5,0.949999988,26
211,1992,1,0,3,28,4,4.5,0.949999988,21
337,1992,1,0,5,29.5,5,4.869999886,0.930000007,24.75
145,1992,1,0,5,17,3,5,0.949999988,16.5
381,1992,1,0,10,20,4,5,1.100000024,24
183,1992,1,0,12,4,4,4.619999886,2.660000086,18
195,1992,1,1,0,30,3,4.25,1.059999943,18
200,1992,1,0,0,60,3,4.25,0.980000019,33
141,1992,1,0,10,15,4,4.75,1.059999943,21.5
271,1992,0,0,0,0,0,0,0,0
426,1992,1,0,3,33,5,4.25,1.059999943,24.5
86,1992,1,0,11,11,4,4.25,1.100000024,20.5
186,1992,1,0,10,20,4,4.75,0.949999988,24
330,1992,1,1,4,16,3,5.420000076,0.949999988,15
114,1992,1,0,0,35,5,4.75,0.949999988,22.5
348,1992,0,0,0,0,0,0,0,0
299,1992,1,0,3,8,2,5,2.339999914,9
83,1992,1,0,12.5,20,2,5,2.130000114,24.5
333,1992,0,0,0,0,0,0,0,0
24,1992,1,0,15,15,4,4.75,1.00999999,26.5
269,1992,1,0,2,10,3,4.449999809,1.5,10
115,1992,1,0,20,25,4,4.75,1.059999943,36.5
82,1992,1,0,8,14.5,3,5,1.059999943,18.25
349,1992,1,0,2.5,27,5,5,0.949999988,21
268,1992,1,0,10,18,4,5,0.850000024,23
218,1992,1,0,7,4,2,4.349999905,2.339999914,11
250,1992,1,1,1,4,2,4.5,0,5
253,1992,1,0,7,7,3,4.869999886,2.299999952,13.5
228,1992,0,0,0,0,0,0,0,0
361,1992,1,0,6,13,5,4.25,0.850000024,17.5
12,1992,1,0,6.5,23.5,3,4.369999886,0.910000026,21.25
21,1992,0,0,0,0,0,0,0,0
405,1992,0,0,0,0,0,0,0,0
191,1992,1,0,30,20,4,0,1.059999943,44
215,1992,1,0,10,10,3,4.5,0.910000026,18
197,1992,1,0,23,10,4,5,0.889999986,32
146,1992,1,0,8,20,5,4.800000191,1.059999943,23
296,1992,1,0,5,16,4,5.300000191,1.00999999,17
264,1992,1,0,0,10,2,4.25,0.910000026,7
415,1992,1,0,8,32,5,4.25,0.980000019,29
376,1992,0,0,0,0,0,0,0,0
274,1992,1,0,0,15,2,5.5,2.339999914,9.5
254,1992,1,1,20,10,3,0,1.059999943,28
149,1992,1,0,0,20,4,4.5,0.949999988,14
363,1992,1,0,0,25,3,4.25,2.450000048,15.5
66,1992,1,0,15,18,3,4.25,0.949999988,27
304,1992,1,0,10,20,3,4.5,2.24000001,23
364,1992,1,0,3.5,20,3,4.25,2.450000048,16.5
449,1993,0,0,15,15,5,5,0.730000019,27.5
462,1993,0,0,1,25,4,4.75,0.889999986,17.5
443,1993,0,0,5,20,4,4.349999905,1.809999943,19
496,1993,0,0,10,10,3,4.75,0.889999986,18
46,1993,0,0,3.5,35,3,4.300000191,0.939999998,24
488,1993,0,0,5,15,3,4.75,0.939999998,15.5
40,1993,0,0,0,0,0,0,0,0
39,1993,0,0,5,15,3,0,0.629999995,15.5
440,1993,0,0,0,30,3,0,1.799999952,18
506,1993,0,0,3,7,4,5,2.329999924,10.5
45,1993,0,0,11,12,2,4.25,0.860000014,19
48,1993,0,0,7.5,25,5,4.380000114,0.870000005,25
444,1993,0,0,10,35,4,4.5,0.790000021,31.5
430,1993,0,0,0,48,3,4.25,0.75,27
57,1993,0,0,0,0,0,0,0,0
470,1993,0,0,18,10,3,4.75,0.939999998,26
522,1993,0,0,3,23,3,4.25,0.949999988,17.5
493,1993,0,0,0,30,4,4.900000095,0.839999974,19
491,1993,0,0,0,0,0,0,0,0
434,1993,0,0,19,29,4,4.25,0.800000012,37.5
511,1993,0,0,3,13,3,4.75,0.889999986,12.5
503,1993,0,0,35,6.5,3,4.5,1,41.25
501,1993,0,0,30,15,6,4.75,0.910000026,43.5
445,1993,0,0,15,18,5,4.75,0.939999998,29
446,1993,0,0,0,0,0,0,0,0
58,1993,0,0,0,28,4,4.5,0.939999998,18
47,1993,0,0,0,45,2,4.25,0.860000014,24.5
451,1993,0,0,26,9,6,5,0.939999998,36.5
474,1993,0,0,0,0,0,0,0,0
515,1993,0,0,5,19,3,4.75,0.939999998,17.5
498,1993,0,0,21,5.5,3,5,0.899999976,26.75
450,1993,0,0,27.5,8,3,4.75,0.860000014,34.5
438,1993,0,0,2,9,3,4.25,2.430000067,9.5
473,1993,0,0,26,15,2,4.5,0.860000014,35.5
468,1993,0,0,9,32,4,5,0.860000014,29
514,1993,0,0,23,16,3,4.25,1.049999952,34
510,1993,0,0,2.5,17.5,3,0,0,14.25
521,1993,0,0,0,0,0,0,0,0
476,1993,0,0,5,30,3,4.75,1.179999948,23
59,1993,0,0,0,16,4,4.25,0.860000014,12
483,1993,0,0,4,13,3,4.75,2.329999924,13.5
454,1993,0,0,0,0,0,0,0,0
60,1993,0,0,10,20,5,4.25,0.860000014,25
42,1993,0,0,0,22,5,4.25,0,16
455,1993,0,0,3,12,2,5,2.319999933,11
469,1993,0,0,7,39,4,4.5,0.870000005,30.5
62,1993,0,0,0,0,0,0,1.789999962,0
489,1993,0,0,0,0,0,0,0,0
458,1993,0,0,0,0,0,0,0,0
37,1993,0,0,6,25,7,4.25,0.860000014,25.5
75,1993,1,0,4,11,3,5.050000191,2.75,12.5
208,1993,1,0,5,32,3,5.050000191,1.049999952,24
33,1993,1,0,6,11,5,5.050000191,1.049999952,16.5
211,1993,1,0,2,35,4,5.050000191,0,23.5
337,1993,1,0,25,5,3,5.050000191,0,30.5
145,1993,1,0,10,8,4,5.28000021,0.949999988,18
381,1993,0,0,0,0,0,0,0,0
183,1993,1,0,15,10,2,5.050000191,2.75,22
195,1993,1,1,8,25,3,5.050000191,2.109999895,23.5
200,1993,1,0,5,40,4,5.050000191,0.980000019,29
141,1993,1,0,10,25,3,5.050000191,1.340000033,25.5
271,1993,1,0,0,15,3,5.050000191,2.279999971,10.5
426,1993,1,0,5,25,3,5.050000191,1.049999952,20.5
86,1993,1,0,9,12,4,5.050000191,1.039999962,19
186,1993,1,0,12,18,4,5.050000191,0.949999988,25
330,1993,1,1,3,20,3,5.670000076,1.25999999,16
114,1993,1,0,20,40,4,5.25,0.939999998,44
348,1993,1,0,0,0,0,0,0,0
299,1993,1,0,6,12,2,5.050000191,2.319999933,14
83,1993,1,0,0,0,4,5.050000191,0.99000001,0
333,1993,1,0,3,20,3,5.050000191,0.870000005,16
24,1993,1,0,15,20,4,5.050000191,1,29
269,1993,1,0,10,3,4,5.050000191,2.319999933,15.5
115,1993,1,0,6,15,4,5.050000191,1.00999999,17.5
82,1993,1,0,25,8,4,5.050000191,1.049999952,33
349,1993,1,0,0,20,4,5.050000191,0.939999998,14
268,1993,1,0,0,42.5,2,5.050000191,0.839999974,23.25
218,1993,1,0,5,3,3,5.050000191,2.190000057,9.5
250,1993,1,1,2,4,3,5.050000191,2.519999981,7
253,1993,1,0,4,8,6,5.050000191,2.279999971,14
228,1993,1,0,11,19,3,5.050000191,0.889999986,23.5
361,1993,1,0,4,23,6,5.050000191,0.920000017,21.5
12,1993,1,0,15,15,4,5.050000191,0.939999998,26.5
21,1993,1,0,0,11,2,5.050000191,2.430000067,7.5
405,1993,1,0,1.5,15,3,5.050000191,1.049999952,12
191,1993,1,0,0,25,4,5.050000191,1.049999952,16.5
215,1993,1,0,20,10,3,5.050000191,0.930000007,28
197,1993,1,0,5,21,5,5.050000191,0.949999988,20.5
146,1993,1,0,0,32,4.5,5.050000191,1.049999952,20.5
296,1993,1,0,4,9,6,5.050000191,1,14.5
264,1993,1,0,0,23,5,5.050000191,0.939999998,16.5
415,1993,1,0,0,38,4,5.050000191,1.039999962,23
376,1993,1,0,0,17,3,5.050000191,1,11.5
274,1993,1,0,3,7,3,5.050000191,2.319999933,9.5
254,1993,1,1,28,10,3,5.25,1.049999952,36
149,1993,0,0,0,0,0,0,0,0
363,1993,1,0,14,7,2,5.199999809,2.430000067,19.5
66,1993,1,0,26,10,4,5.050000191,0.949999988,35
304,1993,1,0,10,15,4,5.050000191,1.049999952,21.5
364,1993,1,0,1,30,4,5.050000191,2.430000067,20
